SYMBOL	PE	PS	PB
ADM	14.25	 0.19	0.95
AEL	10.84	 0.58	0.44
AFE	6.16	 0.51	0.53
AFQ	6.6	 0.54	0.57
AIR	8.39	 0.26	0.62
AIZ	5.56	 0.34	0.57
ALL	9.25	 0.55	0.94
AM	17.45	 0.29	0.71
BG	13.13	 0.16	0.89
CNO	6.39	 0.51	0.44
CSS	8.86	 0.5	0.82
CYD	4.6	 0.22	0.55
DDE	9.77	 0.33	0.7
DEG	9.9	 0.16	0.64
FAF	12.57	 0.51	0.95
FDP	11.98	 0.42	0.8
GME	7.82	 0.25	0.83
GSJ	4.02	 0.51	0.2
HES	13.31	 0.45	0.84
HPQ	7.59	 0.31	0.94
IBA	17.86	 0.44	0.86
IHC	13.31	 0.46	0.69
ISH	9.06	 0.48	0.48
LLL	7.65	 0.45	0.98
MET	5.28	 0.52	0.59
MIG	19.66	 0.42	0.66
MLG	3.94	 0.39	0.44
MTRN	14.91	 0.3	1
NM	4.67	 0.56	0.35
OMX	12.29	 0.07	0.86
PHR	3.79	 0.24	0.33
PRU	7.58	 0.48	0.66
RGA	7.24	 0.48	0.68
SCX	12.19	 0.33	0.58
SFG	9.52	 0.46	0.65
STC	19.11	 0.21	0.76
TDE	18.52	 0.56	0.73
TDI	17.77	 0.53	0.7
TDJ	19.01	 0.57	0.75
TDS	16.66	 0.5	0.65
THG	14.81	 0.36	0.61
TSN	11.67	 0.17	0.95
TX	10.33	 0.44	0.7
UFS	10.44	 0.48	0.89
UZA	13.08	 0.53	0.63
VLO	9.77	 0.12	0.96
WLP	7.84	 0.3	0.79
XIN	1.44	 0.13	0.15
XRX	8.19	 0.43	0.81
YPF	4.26	 0.35	0.79
ZX	1.9	 0.22	0.43
