NAME	SYMBOL	PE	PS	PB	19.5	Entered?				
Archer-Daniels-Mi	ADM	14.25	0.19	0.95		Y				"19,600"
American Equity I	AEL	10.84	0.58	0.44		Y				
American Financia	AFE	6.16	0.51	0.53		Y				
American Financia	AFQ	6.6	0.54	0.57		Y				
AAR Corp. Common 	AIR	8.39	0.26	0.62		Y				
"Assurant, Inc. Co"	AIZ	5.56	0.34	0.57		Y				
Allstate Corporat	ALL	9.25	0.55	0.94		Y				
American Greeting	AM	17.45	0.29	0.71		Y				
Bunge Limited Bun	BG	13.13	0.16	0.89		Y				
CNO Financial Gro	CNO	6.39	0.51	0.44		Y				
"CSS Industries, I"	CSS	8.86	0.5	0.82		Y				
China Yuchai Inte	CYD	4.6	0.22	0.55		Y				
Dover Downs Gamin	DDE	9.77	0.33	0.7		Y				
Etablissements De	DEG	9.9	0.16	0.64		Y				
First American Co	FAF	12.57	0.51	0.95		Y				
Fresh Del Monte P	FDP	11.98	0.42	0.8		Y				
Gamestop Corporat	GME	7.82	0.25	0.83		Y				
Goldman Sachs Gro	GSJ	4.02	0.51	0.2		Y				
Hess Corporation 	HES	13.31	0.45	0.84		y				
Hewlett-Packard C	HPQ	7.59	0.31	0.94		Y				
Industrias Bachoc	IBA	17.86	0.44	0.86		Y				
Independence Hold	IHC	13.31	0.46	0.69		Y				
International Shi	ISH	9.06	0.48	0.48		Y				
L-3 Communication	LLL	7.65	0.45	0.98		Y				
"MetLife, Inc. Com"	MET	5.28	0.52	0.59		Y				
Meadowbrook Insur	MIG	19.66	0.42	0.66		Y				
"MetLife, Inc. 5.8"	MLG	3.94	0.39	0.44		Y				
Materion Corporat	MTRN	14.91	0.3	1		Y				
Navios Maritime H	NM	4.67	0.56	0.35		Y				
Officemax Incorpo	OMX	12.29	0.07	0.86		Y				
Prudential Financ	PHR	3.79	0.24	0.33		Y				
Prudential Financ	PRU	7.58	0.48	0.66		Y				
Reinsurance Group	RGA	7.24	0.48	0.68		Y				
L.S. Starrett Com	SCX	12.19	0.33	0.58		Y				
StanCorp Financia	SFG	9.52	0.46	0.65		Y				
Stewart Informati	STC	19.11	0.21	0.76		Y				
Telephone and Dat	TDE	18.52	0.56	0.73		N				
Telephone and Dat	TDI	17.77	0.53	0.7		N				
Telephone and Dat	TDJ	19.01	0.57	0.75		N				
Telephone and Dat	TDS	16.66	0.5	0.65		Y				
Hanover Insurance	THG	14.81	0.36	0.61		Y				
"Tyson Foods, Inc."	TSN	11.67	0.17	0.95		Y				
Ternium S.A. Tern	TX	10.33	0.44	0.7		Y				
Domtar Corporatio	UFS	10.44	0.48	0.89		Y				
United States Cel	UZA	13.08	0.53	0.63		Y	USM now			
Valero Energy Cor	VLO	9.77	0.12	0.96		Y				
"WellPoint, Inc. C"	WLP	7.84	0.3	0.79		Y				
Xinyuan Real Esta	XIN	1.44	0.13	0.15		Y				
Xerox Corporation	XRX	8.19	0.43	0.81		Y				
YPF Sociedad Anon	YPF	4.26	0.35	0.79		Y				
China Zenix Auto 	ZX	1.9	0.22	0.43		Y				
